sample_id,depth_mm,age_BP,d18O,d18O_prec
295688,109.4,6868.6,-2.73,0.08
295689,109.6,6873.8,-2.7,0.08
295690,109.8,6879,-2.66,0.08
295691,110,6884.2,-2.76,0.08
295692,110.2,6889.3,-2.69,0.08
295693,110.4,6894.5,-2.7,0.08
295694,110.6,6899.5,-2.55,0.08
295695,110.8,6904.6,-2.59,0.08
295696,111,6909.6,-2.66,0.08
295697,111.2,6914.7,-2.55,0.08
295698,111.4,6919.7,-2.68,0.08
295699,111.6,6924.7,-2.85,0.08
295700,111.8,6929.6,-2.79,0.08
295701,112,6934.6,-2.8,0.08
295702,112.2,6939.6,-2.81,0.08
295703,112.4,6944.5,-2.94,0.08
295704,112.6,6949.5,-2.9,0.08
295705,112.8,6954.4,-2.91,0.08
295706,113,6959.4,-2.98,0.08
295707,113.2,6964.3,-2.87,0.08
295708,113.4,6969.3,-2.73,0.08
295709,113.6,6974.2,-2.77,0.08
295710,113.8,6979.1,-2.91,0.08
295711,114,6984.1,-2.97,0.08
295712,114.2,6989,-2.95,0.08
295713,114.4,6993.9,-3.05,0.08
295714,114.6,6998.9,-3.04,0.08
295715,114.8,7003.8,-3.05,0.08
295716,115,7008.7,-3.12,0.08
295717,115.2,7013.5,-3.06,0.08
295718,115.4,7018.4,-3.09,0.08
295719,115.6,7023.2,-3.33,0.08
295720,115.8,7028,-3.23,0.08
295721,116,7032.7,-3.27,0.08
295722,116.2,7037.5,-3.02,0.08
295723,116.4,7042.1,-2.99,0.08
295724,116.6,7046.7,-3.07,0.08
295725,116.8,7051.3,-3.05,0.08
295726,117,7055.8,-3.24,0.08
295727,117.2,7060.2,-3.15,0.08
295728,117.4,7064.6,-3.16,0.08
295729,117.6,7068.9,-3.07,0.08
295730,117.8,7073.1,-3.05,0.08
295731,118,7077.2,-3.09,0.08
295732,118.2,7081.3,-2.88,0.08
295733,118.4,7085.3,-2.94,0.08
295734,118.6,7089.2,-2.94,0.08
295735,118.8,7093,-2.97,0.08
295736,119,7096.8,-3,0.08
295737,119.2,7100.5,-2.89,0.08
295738,119.4,7104.2,-2.87,0.08
295739,119.6,7107.9,-2.88,0.08
295740,119.8,7111.5,-2.87,0.08
295741,120,7115.2,-2.84,0.08
295742,120.2,7118.8,-2.87,0.08
295743,120.4,7122.4,-2.95,0.08
295744,120.6,7126,-2.9,0.08
295745,120.8,7129.6,-2.77,0.08
295746,121,7133.3,-2.82,0.08
295747,121.2,7137,-2.8,0.08
295748,121.4,7140.7,-2.89,0.08
295749,121.6,7144.4,-2.81,0.08
295750,121.8,7148.2,-2.81,0.08
295751,122,7152,-2.81,0.08
295752,122.2,7155.9,-2.72,0.08
295753,122.4,7159.9,-2.75,0.08
295754,122.6,7163.9,-2.6,0.08
295755,122.8,7168,-2.7,0.08
295756,123,7172.1,-2.69,0.08
295757,123.2,7176.3,-2.81,0.08
295758,123.4,7180.5,-2.79,0.08
295759,123.6,7184.8,-2.69,0.08
295760,123.8,7189.1,-2.71,0.08
295761,124,7193.5,-2.81,0.08
295762,124.2,7197.9,-2.73,0.08
295763,124.4,7202.4,-2.82,0.08
