sample_id,depth_mm,age_BP,d18O,d18O_prec,Mg_Ca,Mg_Ca_prec
379361,22,9410,-1.25,0.08,26.77535,NA
379362,22.1,9421,-1.48,0.08,19.76224,NA
379363,22.2,9433,-1.29,0.08,23.19189,NA
379364,22.3,9444,-1.74,0.08,25.38682,NA
379365,22.4,9456,-1.2,0.08,25.09031,NA
379366,22.5,9468,-1.23,0.08,24.7938,NA
379367,22.6,9479,-1.21,0.08,24.49729,NA
379369,22.8,12634,-0.68,0.08,23.90426,NA
379370,22.9,12645,-0.1,0.08,23.60775,NA
379371,23,12655,NA,NA,27.2412,NA
379372,23.1,12665,0.08,0.08,27.50298,NA
379373,23.2,12676,0.37,0.08,30.96398,NA
379374,23.3,12687,-0.1,0.08,30.87678,NA
379375,23.4,12697,0.27,0.08,30.39333,NA
379376,23.5,12708,0.34,0.08,32.04135,NA
379377,23.6,12718,0.53,0.08,32.14343,NA
379378,23.7,12729,0.33,0.08,29.4609,NA
379379,23.8,12740,0.44,0.08,30.73077,NA
379380,23.9,12751,0.33,0.08,27.50434,NA
379381,24,12761,0.34,0.08,28.55843,NA
379382,24.1,12772,0.26,0.08,29.17176,NA
379383,24.2,12783,-0.03,0.08,26.24411,NA
379384,24.3,12794,-0.09,0.08,25.79822,NA
379385,24.4,12805,-0.09,0.08,26.03335,NA
379386,24.5,12815,0.05,0.08,27.90279,NA
379387,24.6,12826,0.24,0.08,28.54745,NA
379388,24.7,12837,0.1,0.08,32.25524,NA
379389,24.8,12848,-0.01,0.08,32.74321,NA
379390,24.9,12859,-0.04,0.08,35.46843,NA
379391,25,12870,0.14,0.08,37.71764,NA
379392,25.1,12881,0.47,0.08,35.77176,NA
379393,25.2,12892,0.37,0.08,33.28333,NA
379394,25.3,12903,0.11,0.08,30.85892,NA
379395,25.4,12914,0.04,0.08,32.40928,NA
379396,25.5,12925,0.04,0.08,30.90904,NA
379397,25.6,12936,0.19,0.08,29.66829,NA
379398,25.7,12946,0.14,0.08,31.87525,NA
379399,25.8,12957,0.11,0.08,28.27828,NA
379400,25.9,12968,0.04,0.08,30.93386,NA
379401,26,12979,-0.16,0.08,31.3239,NA
379402,26.1,12990,0.05,0.08,34.95831,NA
379403,26.2,13001,0.13,0.08,31.73205,NA
379404,26.3,13012,0.12,0.08,31.60767,NA
379405,26.4,13023,-0.03,0.08,32.64518,NA
379406,26.5,13034,-0.06,0.08,30.08074,NA
379407,26.6,13045,NA,NA,29.03644,NA
379408,26.7,13056,-0.03,0.08,33.03139,NA
379409,26.8,13067,-0.18,0.08,30.23793,NA
379410,26.9,13078,-0.04,0.08,33.22913,NA
379411,27,13090,-0.04,0.08,35.16678,NA
379412,27.1,13101,-0.02,0.08,36.31971,NA
379413,27.2,13112,0.37,0.08,34.21051,NA
379414,27.3,13123,0.21,0.08,33.80924,NA
379415,27.4,13134,0.31,0.08,32.81213,NA
379416,27.5,13145,0.12,0.08,28.89108,NA
379417,27.6,13156,-0.09,0.08,31.73899,NA
379418,27.7,13167,-0.14,0.08,33.00955,NA
379419,27.8,13178,0.11,0.08,33.34933,NA
379420,27.9,13189,0.31,0.08,30.27629,NA
379421,28,13200,0.05,0.08,32.34982,NA
379422,28.1,13211,0.04,0.08,33.4747,NA
379423,28.2,13222,0.22,0.08,32.19771,NA
379424,28.3,13233,0.13,0.08,34.73468,NA
379425,28.4,13245,0.24,0.08,31.78892,NA
379426,28.5,13256,0.46,0.08,30.63886,NA
379427,28.6,13267,0.4,0.08,32.45837,NA
379428,28.7,13278,0.45,0.08,27.15459,NA
379429,28.8,13289,0.22,0.08,30.69446,NA
379430,28.9,13300,0.08,0.08,32.30799,NA
379431,29,13311,0.1,0.08,28.62813,NA
379432,29.1,13322,0.16,0.08,31.999,NA
379433,29.2,13333,0.08,0.08,34.04811,NA
379434,29.3,13345,-0.03,0.08,34.80833,NA
379435,29.4,13356,0.16,0.08,32.85544,NA
379436,29.5,13367,0.08,0.08,33.23934,NA
379437,29.6,13378,0.28,0.08,29.62557,NA
379438,29.7,13389,0.06,0.08,29.28166,NA
379439,29.8,13400,-0.25,0.08,29.26501,NA
379440,29.9,13411,NA,NA,30.77122,NA
379441,30,13423,-0.16,0.08,33.68896,NA
379442,30.1,13434,0.15,0.08,24.95117,NA
379443,30.2,13445,0.03,0.08,26.21023,NA
379444,30.3,13456,-0.06,0.08,26.99809,NA
379445,30.4,13468,NA,NA,26.26686,NA
379446,30.5,13479,-0.01,0.08,27.04991,NA
379447,30.6,13490,0.03,0.08,25.49055,NA
379448,30.7,13502,0.11,0.08,23.70385,NA
