year_CE,d18O
319.9,-4.1100
320.6,-3.5600
321.3,-3.6600
322.1,-3.8400
322.8,-3.8200
323.5,-3.9100
324.3,-3.6700
325.1,-3.4800
325.8,-3.6800
326.5,-3.6200
327.3,-3.5100
328.0,-3.5300
328.7,-3.4600
329.5,-3.5300
330.2,-3.6200
330.9,-3.4200
331.7,-3.5500
332.3,-3.5900
333.0,-3.4900
333.5,-3.5700
333.8,-3.5300
334.2,-3.8100
334.6,-3.7200
335.0,-3.7900
335.4,-3.7200
335.7,-3.8200
336.1,-4.0300
336.5,-4.1300
336.9,-3.7300
337.3,-4.0000
337.7,-3.7800
338.0,-4.2400
338.4,-3.8000
338.8,-4.1400
339.2,-3.5900
339.6,-3.5400
340.0,-3.7000
340.4,-3.4300
340.7,-3.6600
341.1,-3.5200
341.5,-3.6600
341.9,-3.8900
342.2,-4.1600
342.7,-3.4700
343.0,-3.5500
343.4,-3.9700
343.8,-3.7500
344.2,-3.5900
344.6,-3.6800
345.0,-3.6600
345.4,-4.1600
345.8,-3.7800
346.1,-3.6500
346.5,-3.3500
346.9,-3.8800
347.3,-3.6300
347.6,-3.9100
348.0,-3.5700
348.8,-3.6000
349.2,-3.5200
349.7,-3.5400
350.0,-3.6300
350.8,-4.2800
351.2,-3.6800
351.9,-4.0300
352.3,-3.6700
352.7,-3.7800
353.1,-4.5100
353.5,-4.2200
353.9,-3.7000
354.2,-3.9300
354.6,-3.7800
355.0,-3.8300
355.4,-3.5500
355.8,-3.5800
356.2,-3.4900
356.6,-3.4600
357.0,-3.5900
357.4,-3.4300
357.8,-3.8200
358.2,-3.4900
358.6,-3.4600
359.0,-3.6100
359.4,-3.6500
359.7,-3.7200
360.1,-3.5700
360.5,-3.8500
360.9,-3.7000
361.3,-4.1300
362.1,-4.6300
362.9,-3.8600
363.3,-4.2500
363.7,-3.3900
364.1,-3.7900
364.5,-3.4800
364.9,-3.7100
365.3,-3.6100
365.7,-3.6700
366.5,-3.6400
366.9,-3.8000
367.2,-4.1400
367.6,-4.4000
373.1,-3.7800
373.7,-3.8700
374.2,-3.8000
374.8,-3.7800
375.4,-3.5600
375.9,-3.5500
376.5,-3.3400
377.1,-3.6300
377.6,-3.8500
378.2,-3.7100
378.8,-3.4900
379.3,-3.6000
379.9,-3.4600
380.4,-3.4900
381.0,-3.7900
381.5,-4.3600
382.1,-3.8900
382.7,-3.4900
383.2,-3.6800
383.8,-3.3900
384.3,-3.6200
384.9,-3.6400
385.5,-3.5700
386.0,-3.4300
386.6,-3.5100
387.1,-3.4200
387.7,-3.6600
388.3,-3.5300
388.8,-3.5900
389.4,-3.7600
389.9,-3.9200
390.5,-3.7100
391.0,-3.9000
391.6,-3.9300
392.2,-4.2600
392.7,-4.1800
393.3,-3.8700
394.4,-3.4400
395.0,-3.5600
395.5,-3.3600
396.1,-3.5200
396.7,-3.3700
397.2,-3.4500
397.8,-3.4700
398.3,-3.6300
398.9,-3.4900
399.5,-4.0800
400.0,-3.4400
400.6,-3.6900
401.1,-3.8000
401.7,-3.9000
402.3,-3.5100
402.8,-3.5500
403.4,-3.6300
404.0,-3.6200
404.5,-3.5500
405.1,-3.7200
405.7,-3.9300
406.2,-4.3200
406.8,-3.8300
407.4,-3.6600
407.9,-3.8900
408.5,-3.6500
409.1,-3.9300
409.6,-3.6500
410.2,-4.0000
410.8,-3.9300
411.3,-4.1900
411.9,-3.9700
412.4,-3.7900
413.0,-4.1000
413.5,-3.6100
414.1,-3.8700
414.7,-3.5700
415.2,-3.3400
415.8,-3.5600
416.3,-3.3300
416.9,-3.9100
417.5,-3.4000
418.0,-3.8100
418.6,-3.0800
419.1,-3.2500
419.7,-3.3200
420.2,-3.0800
420.8,-3.1100
421.3,-3.1300
421.9,-3.0500
422.5,-3.4700
423.0,-3.0500
423.6,-2.9900
424.1,-3.1900
424.7,-3.0700
425.3,-3.0700
425.9,-3.0600
426.4,-3.2200
426.9,-3.2900
427.1,-3.3000
427.2,-3.4500
427.3,-3.4900
427.5,-3.3400
427.5,-3.3500
427.7,-3.3700
427.8,-3.4300
427.9,-3.3400
428.0,-3.3000
428.2,-3.3400
428.3,-3.3000
428.4,-3.3100
428.6,-3.3800
428.7,-3.4900
428.8,-3.5000
428.9,-3.5700
429.0,-3.4900
429.1,-3.4700
